Date,Timestamp,Adj Close,date,Negative,Nuetral,Positive,sentiment_of_the_period,sentiment_of_the_day
2021-04-05 18:45:00,1617648300000,58869.79,2021-04-05 18:45:00,0.0,2.0,1.0,Nuetral,Nuetral
2021-04-05 18:50:00,1617648600000,58873.43,2021-04-05 18:50:00,0.0,2.0,1.0,Nuetral,Nuetral
2021-04-05 18:55:00,1617648900000,58902.18,2021-04-05 18:55:00,0.0,3.0,0.0,Nuetral,Nuetral
2021-04-05 19:00:00,1617649200000,58899.31,2021-04-05 19:00:00,3.0,0.0,2.0,Negative,Negative
2021-04-05 19:05:00,1617649500000,59006.7,2021-04-05 19:05:00,1.0,1.0,0.0,Negative,Negative
2021-04-05 19:10:00,1617649800000,58991.93,,1.0,1.0,0.0,,Negative
2021-04-05 19:15:00,1617650100000,58941.2,2021-04-05 19:15:00,0.0,3.0,0.0,Nuetral,Nuetral
2021-04-05 19:20:00,1617650400000,59000.24,2021-04-05 19:20:00,0.0,3.0,0.0,Nuetral,Nuetral
2021-04-05 19:25:00,1617650700000,58900.53,2021-04-05 19:25:00,0.0,1.0,1.0,Nuetral,Nuetral
2021-04-05 19:30:00,1617651000000,58943.56,2021-04-05 19:30:00,0.0,3.0,2.0,Nuetral,Nuetral
2021-04-05 19:35:00,1617651300000,58896.93,2021-04-05 19:35:00,0.0,1.0,1.0,Nuetral,Nuetral
2021-04-05 19:40:00,1617651600000,58965.0,2021-04-05 19:40:00,0.0,3.0,0.0,Nuetral,Nuetral
2021-04-05 19:45:00,1617651900000,58951.85,2021-04-05 19:45:00,1.0,4.0,1.0,Nuetral,Nuetral
2021-04-05 19:50:00,1617652200000,58951.9,2021-04-05 19:50:00,0.0,3.0,0.0,Nuetral,Nuetral
2021-04-05 19:55:00,1617652500000,59028.06,2021-04-05 19:55:00,0.0,4.0,2.0,Nuetral,Nuetral
2021-04-05 20:00:00,1617652800000,59095.09,2021-04-05 20:00:00,2.0,1.0,1.0,Negative,Negative
2021-04-05 20:05:00,1617653100000,59020.18,2021-04-05 20:05:00,0.0,1.0,2.0,Positive,Positive
2021-04-05 20:10:00,1617653400000,58969.96,2021-04-05 20:10:00,0.0,2.0,2.0,Nuetral,Nuetral
2021-04-05 20:15:00,1617653700000,58970.0,2021-04-05 20:15:00,0.0,3.0,2.0,Nuetral,Nuetral
